accuracy_mean,accuracy_std,architecture,best_macro_f1,best_seed,completed_seeds,image_mode,image_size,improved_over_previous_best,macro_f1_mean,macro_f1_std,nonzero_family_f1_mean,previous_best_family_macro_f1,weighted_f1_mean,weighted_f1_std
0.7888888888888889,0.025206962262479347,inception_small,0.8092714921623424,4099,3,rgb_triplet,512,True,0.7888855940499098,0.028212653756827397,10,0.1716344470733068,0.7888855940499098,0.028212653756827293
0.7888888888888889,0.023587679004578747,inception_small,0.8220475102556783,1337,3,gray,256,True,0.7888502072864074,0.023560581970039143,10,0.1716344470733068,0.7888502072864074,0.023560581970039098
0.7725925925925926,0.009132465189583685,inception_small,0.7861846199210002,1337,3,gray,512,True,0.7733174223042322,0.009349468171610378,10,0.1716344470733068,0.7733174223042323,0.0093494681716104
0.7674074074074074,0.006372092790401939,inception_small,0.7746420979540668,4099,3,rgb_triplet,256,True,0.7676293983017444,0.006110291326663771,10,0.1716344470733068,0.7676293983017443,0.006110291326663771
0.76,0.024545246704860555,residual_small,0.7917760270964849,4099,3,gray,256,True,0.760578749179618,0.025250220585682437,10,0.1716344470733068,0.760578749179618,0.025250220585682392
0.74,0.015817893706713052,residual_small,0.7617529164355561,4099,3,rgb_triplet,256,True,0.7432534163001708,0.013115484002850824,10,0.1716344470733068,0.7432534163001708,0.013115484002850869
0.7407407407407408,0.04641318577132013,residual_small,0.7810726078865167,1337,3,gray,512,True,0.7398161426661678,0.050706948336119884,10,0.1716344470733068,0.7398161426661679,0.050706948336119835
0.7422222222222222,0.017870130491577537,compact_cnn,0.7562687616551851,1337,3,gray,256,True,0.7384456154634028,0.017937706785100434,10,0.1716344470733068,0.7384456154634028,0.017937706785100434
0.7362962962962962,0.0500972990189953,residual_small,0.788865508248926,1337,3,rgb_triplet,512,True,0.7371042516327323,0.05178939995769266,10,0.1716344470733068,0.7371042516327323,0.05178939995769265
0.72,0.05090134086699106,compact_cnn,0.7843205091873011,4099,3,rgb_triplet,256,True,0.7122528876170742,0.06568495719421032,9.666666666666666,0.1716344470733068,0.7122528876170742,0.06568495719421032
0.7148148148148148,0.002771598064276962,compact_cnn,0.7173866195916879,1337,3,gray,512,True,0.7082481253729358,0.0068132545397584215,10,0.1716344470733068,0.7082481253729358,0.0068132545397584995
0.682962962962963,0.04566232594791836,dense_small,0.7455598266973389,1337,3,rgb_triplet,256,True,0.6677726129090382,0.06132465947550572,10,0.1716344470733068,0.6677726129090382,0.06132465947550559
0.682962962962963,0.00999313893572745,dense_small,0.6733512923805909,1337,3,gray,256,True,0.6657687279683546,0.008758576257344738,10,0.1716344470733068,0.6657687279683547,0.008758576257344757
0.66,0.04289905847576373,dense_small,0.7026879787131921,4099,3,gray,512,True,0.6494069899941523,0.047907868752060385,10,0.1716344470733068,0.6494069899941523,0.04790786875206038
0.6459259259259259,0.009993138935727456,compact_cnn,0.6598581334879968,1337,3,rgb_triplet,512,True,0.6427781359331591,0.013217389816672807,10,0.1716344470733068,0.6427781359331591,0.013217389816672717
0.6355555555555555,0.05506449641495051,dense_small,0.6635491573044969,1337,3,rgb_triplet,512,True,0.621064972063148,0.05932722414540946,10,0.1716344470733068,0.6210649720631479,0.05932722414540946
0.10074074074074074,0.0010475656017578483,convnext_tiny_scratch,0.0225664495687379,2027,3,gray,512,False,0.019643361977458088,0.0020669350577962064,1.3333333333333333,0.1716344470733068,0.019643361977458088,0.0020669350577962064
0.1,0.0,convnext_tiny_scratch,0.01818181818181818,1337,3,gray,256,False,0.01818181818181818,0.0,1,0.1716344470733068,0.01818181818181818,0.0
0.1,0.0,convnext_tiny_scratch,0.01818181818181818,1337,3,rgb_triplet,256,False,0.01818181818181818,0.0,1,0.1716344470733068,0.01818181818181818,0.0
0.1,0.0,convnext_tiny_scratch,0.01818181818181818,1337,3,rgb_triplet,512,False,0.01818181818181818,0.0,1,0.1716344470733068,0.01818181818181818,0.0
