architecture,image_mode,image_size,model_path,model_sha256,seed
dense_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_rgb_triplet_256_seed2027/malware_family_dense_small_rgb_triplet_256_seed2027.keras,61bed89e9e1aea937c1d6f610ff40849f08544e165d8606515c89ede00a87349,2027
dense_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_rgb_triplet_256_seed4099/malware_family_dense_small_rgb_triplet_256_seed4099.keras,24d61a0575e695ec138d397e79c32b9228c2c333a28c114cdee960be7b39056f,4099
residual_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_256_seed1337/malware_family_residual_small_rgb_triplet_256_seed1337.keras,0fabbe3d764cbc621a7bd38dfc7490581c449218f8c77a79cfe5e3be76cd1c41,1337
residual_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_256_seed2027/malware_family_residual_small_rgb_triplet_256_seed2027.keras,ddf3a779b28d89c72bb03ed912ca341cd6986d5dcec3c06da9482c1fd664e93b,2027
residual_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_256_seed4099/malware_family_residual_small_rgb_triplet_256_seed4099.keras,23c489345f1cf8867789e2f669b505a689c8c8386315dbde6d6d165022c23a85,4099
inception_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_256_seed1337/malware_family_inception_small_rgb_triplet_256_seed1337.keras,286bbd5148e1167bd19deeafd19c85ad66fdb9e5a67aa5e1d5b581c9b1ed2c25,1337
inception_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_256_seed2027/malware_family_inception_small_rgb_triplet_256_seed2027.keras,607b6ae9ef299eb50c44ca08a8d12dcbbaa4632c9b1dff102099d3e3e70b8642,2027
inception_small,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_256_seed4099/malware_family_inception_small_rgb_triplet_256_seed4099.keras,6335ee22c72d6373f92d5981c1d4d114b8e9174f2ad78051bd5c782f3da76db2,4099
convnext_tiny_scratch,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed1337/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed1337.keras,d7166d7b7bf6e18c7852cc6fcf60ae592254ce63be1fc3679090e8ce3ed81638,1337
convnext_tiny_scratch,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed2027/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed2027.keras,40a99e4621976b865b17bda782b71889882ea39228aa2bb876f25be762348ed4,2027
