accuracy,architecture,batch_size,class_count,epochs_requested,epochs_run,error,error_type,image_mode,image_size,macro_f1,model_path,model_sha256,nonzero_family_f1_count,param_count,patience,seed,status,task,test_rows,train_rows,train_seconds,val_rows,weighted_f1
0.76,compact_cnn,8,10,10,10,,,gray,256,0.7562687616551851,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed1337/malware_family_compact_cnn_gray_256_seed1337.keras,9170dbb2dde9181486574f52df8503ccc69ec7edf43b273842e0501262de5915,10,181634,3,1337,completed,malware_family,450,2080,33.036,450,0.7562687616551851
0.7177777777777777,compact_cnn,8,10,10,10,,,gray,256,0.713900949841331,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed2027/malware_family_compact_cnn_gray_256_seed2027.keras,7fef4d39d29d6e9eb472de4124eb8c89ed617daf5d320b4530d1c0d2ef52dad8,10,181634,3,2027,completed,malware_family,450,2080,29.906,450,0.713900949841331
0.7488888888888889,compact_cnn,8,10,10,8,,,gray,256,0.7451671348936922,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed4099/malware_family_compact_cnn_gray_256_seed4099.keras,093b23e78579fd004fef429cf65fbe964231fce7778e995e929360d795d50054,10,181634,3,4099,completed,malware_family,450,2080,24.508,450,0.7451671348936922
0.6888888888888889,dense_small,8,10,10,10,,,gray,256,0.6733512923805909,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed1337/malware_family_dense_small_gray_256_seed1337.keras,9afc255bd8c36e85293e4946cf9d0ff0288f86c47bb6ecbdc6c66ad61ac249af,10,300010,3,1337,completed,malware_family,450,2080,78.296,450,0.6733512923805909
0.6911111111111111,dense_small,8,10,10,10,,,gray,256,0.6704596344411272,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed2027/malware_family_dense_small_gray_256_seed2027.keras,6adf4cd0d2af6793559786ba6073ed63ebf4a30aa4bfc2dfa24d5270fdf1e9ee,10,300010,3,2027,completed,malware_family,450,2080,75.203,450,0.6704596344411273
0.6688888888888889,dense_small,8,10,10,8,,,gray,256,0.6534952570833459,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed4099/malware_family_dense_small_gray_256_seed4099.keras,cf249b6b976b2702bd5c07272e69f30e348f44a9769189ee5d559fdf24e9cbe5,10,300010,3,4099,completed,malware_family,450,2080,61.219,450,0.6534952570833459
0.7288888888888889,residual_small,8,10,10,8,,,gray,256,0.7299332551553657,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed1337/malware_family_residual_small_gray_256_seed1337.keras,29ee5f787afe379817c9b7004a3c20d48b840bca0fe63750ada0408b0e00b778,10,919434,3,1337,completed,malware_family,450,2080,54.204,450,0.7299332551553657
0.7622222222222222,residual_small,8,10,10,10,,,gray,256,0.7600269652870035,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed2027/malware_family_residual_small_gray_256_seed2027.keras,8ff026daf7ca582ab884a5776aea81be1228647190002824d889ace34054b725,10,919434,3,2027,completed,malware_family,450,2080,61.578,450,0.7600269652870036
0.7888888888888889,residual_small,8,10,10,10,,,gray,256,0.7917760270964849,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed4099/malware_family_residual_small_gray_256_seed4099.keras,3a0eb1e88b1151f1838772b4d2127e04931668136efc7948f9714764c7f12338,10,919434,3,4099,completed,malware_family,450,2080,61.577,450,0.7917760270964848
0.8222222222222222,inception_small,8,10,10,10,,,gray,256,0.8220475102556783,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_gray_256_seed1337/malware_family_inception_small_gray_256_seed1337.keras,2d936314be5cff55f7f3df51421a284865407ff9c9d276baa4f21eb5a55f7630,10,2263370,3,1337,completed,malware_family,450,2080,275.283,450,0.8220475102556782
